,arr_delay
250,-17.0
251,-2.0
252,-5.0
253,-18.0
254,-13.0
255,-5.0
256,-6.0
257,-7.0
258,3.0
259,6.0
260,-13.0
261,8.0
262,-1.0
263,-15.0
264,-6.0
265,-21.0
266,-15.0
267,-31.0
268,-22.0
269,-32.0
270,-11.0
271,-3.0
272,-6.0
273,-18.0
274,1.0
275,-12.0
276,-16.0
277,-5.0
278,-19.0
279,-36.0
280,-21.0
281,-13.0
282,8.0
283,-5.0
284,-9.0
285,-7.0
286,-11.0
287,-17.0
288,38.0
289,-20.0
290,43.0
291,-6.0
292,-25.0
293,-18.0
294,-1.0
295,-12.0
296,-21.0
297,-14.0
298,-21.0
299,-6.0
300,-7.0
301,5.0
302,1.0
303,-19.0
304,-17.0
305,-7.0
306,3.0
307,-17.0
308,-13.0
309,-15.0
310,-19.0
311,-1.0
312,-24.0
313,-22.0
314,-2.0
315,-15.0
316,-11.0
317,5.0
318,0.0
319,-19.0
320,-21.0
321,4.0
322,1.0
323,-12.0
324,-4.0
325,-23.0
326,-16.0
327,-16.0
328,-10.0
329,-1.0
330,-9.0
331,-21.0
332,-13.0
333,-22.0
334,-9.0
335,-15.0
336,-16.0
337,-17.0
338,-8.0
339,-3.0
340,21.0
341,24.0
342,-12.0
343,-23.0
344,-21.0
345,-23.0
346,-17.0
347,-16.0
348,3.0
349,-28.0
350,11.0
351,-6.0
352,-3.0
353,3.0
354,-17.0
355,0.0
356,27.0
357,-4.0
358,4.0
359,-10.0
360,1.0
361,-34.0
362,0.0
363,-16.0
364,-26.0
365,-25.0
366,2.0
367,-4.0
368,-15.0
369,-4.0
370,-16.0
371,7.0
372,8.0
373,-18.0
374,-8.0
375,-20.0
376,-26.0
377,-17.0
378,-24.0
379,-9.0
380,-15.0
381,-16.0
382,-11.0
383,-20.0
384,-19.0
385,-14.0
386,-9.0
387,7.0
388,-12.0
389,-16.0
390,-20.0
391,10.0
392,-7.0
393,14.0
394,-10.0
395,1.0
396,3.0
397,-19.0
398,-20.0
399,-24.0
400,-11.0
401,-30.0
402,-9.0
403,-33.0
404,-23.0
405,-25.0
406,-30.0
407,-29.0
408,-12.0
409,-21.0
410,-16.0
411,-19.0
412,-12.0
413,36.0
414,-27.0
415,-20.0
416,-21.0
417,-26.0
418,-3.0
419,-19.0
420,38.0
421,-13.0
422,-17.0
423,-11.0
424,-22.0
425,-32.0
426,-12.0
427,-20.0
428,-9.0
429,-25.0
430,-38.0
431,-15.0
432,-11.0
433,-17.0
434,-22.0
435,-17.0
436,5.0
437,-46.0
438,-17.0
439,-11.0
440,-24.0
441,-28.0
442,-27.0
443,-14.0
444,-17.0
445,-12.0
446,-24.0
447,-7.0
448,21.0
449,2.0
450,5.0
451,-24.0
452,-30.0
453,-31.0
454,-25.0
455,-15.0
456,4.0
457,-14.0
458,-27.0
459,-30.0
460,-4.0
461,-20.0
462,-19.0
463,-15.0
464,-24.0
465,-22.0
466,75.0
467,-21.0
468,4.0
469,177.0
470,-24.0
471,-31.0
472,-19.0
473,-3.0
474,-46.0
475,17.0
476,-27.0
477,-21.0
478,-23.0
479,9.0
480,-34.0
481,-13.0
482,-22.0
483,-26.0
484,-26.0
485,-15.0
486,-19.0
487,-18.0
488,-8.0
489,-44.0
490,-29.0
491,14.0
492,-23.0
493,14.0
494,-13.0
495,-23.0
496,-28.0
497,-29.0
498,-20.0
499,-30.0
500,30.0
501,2.0
502,0.0
503,54.0
504,22.0
505,27.0
506,-8.0
507,-6.0
508,-22.0
509,1.0
510,16.0
511,129.0
512,122.0
513,-21.0
514,88.0
515,94.0
516,-11.0
517,-15.0
518,-13.0
519,-16.0
520,-7.0
521,25.0
522,-5.0
523,-20.0
524,-6.0
525,-17.0
526,-7.0
527,-24.0
528,-4.0
529,-19.0
530,-4.0
531,-30.0
532,-32.0
533,-6.0
534,-9.0
535,-5.0
536,-17.0
537,-18.0
538,-5.0
539,-1.0
540,-31.0
541,-27.0
542,-23.0
543,-5.0
544,-24.0
545,-11.0
546,-16.0
547,-3.0
548,-16.0
549,-13.0
550,-7.0
551,24.0
552,-6.0
553,149.0
554,-7.0
555,-15.0
556,41.0
557,-7.0
558,29.0
559,290.0
560,-22.0
561,-12.0
562,17.0
563,11.0
564,-9.0
565,-23.0
566,-2.0
567,2.0
568,-17.0
569,-18.0
570,-23.0
571,185.0
572,28.0
573,-33.0
574,-23.0
575,0.0
576,85.0
577,-12.0
578,12.0
579,-2.0
580,-4.0
581,-32.0
582,-12.0
583,-13.0
584,-7.0
585,-19.0
586,7.0
587,-32.0
588,-5.0
589,-35.0
590,-2.0
591,12.0
592,-8.0
593,-10.0
594,1.0
595,-8.0
596,-4.0
597,-4.0
598,5.0
599,-7.0
600,-9.0
601,-1.0
602,-7.0
603,-7.0
604,-9.0
605,5.0
606,-2.0
607,-15.0
608,-4.0
609,21.0
610,0.0
611,-10.0
612,-1.0
613,-4.0
614,-4.0
615,-10.0
616,-9.0
617,-14.0
618,1.0
619,46.0
620,10.0
621,-7.0
622,-4.0
623,-15.0
624,10.0
625,3.0
626,-7.0
627,-3.0
628,-12.0
629,-9.0
630,-11.0
631,-1.0
632,-8.0
633,-1.0
634,-2.0
635,-2.0
636,27.0
637,-2.0
638,15.0
639,-6.0
640,-4.0
641,-7.0
642,-15.0
643,12.0
644,-21.0
645,11.0
646,-7.0
647,-20.0
648,1.0
649,-18.0
650,4.0
651,20.0
652,-30.0
653,4.0
654,108.0
655,18.0
656,-21.0
657,-33.0
658,-12.0
659,31.0
660,-23.0
661,-4.0
662,-24.0
663,-17.0
664,-33.0
665,-19.0
666,-20.0
667,25.0
668,-12.0
669,-8.0
670,33.0
671,-9.0
672,10.0
673,-13.0
674,-8.0
675,-16.0
676,-18.0
677,-14.0
678,-10.0
679,-18.0
680,-30.0
681,-9.0
682,7.0
683,-34.0
684,-32.0
685,31.0
686,31.0
687,-11.0
688,1.0
689,13.0
690,-7.0
691,-18.0
692,95.0
693,-25.0
694,-13.0
695,-11.0
696,76.0
697,-15.0
698,-11.0
699,-13.0
700,-16.0
701,-2.0
702,-23.0
703,-10.0
704,-19.0
705,-10.0
706,-20.0
707,-4.0
708,-15.0
709,-8.0
710,-20.0
711,-37.0
712,-41.0
713,-16.0
714,17.0
715,-1.0
716,-13.0
717,2.0
718,-5.0
719,-22.0
720,-36.0
721,20.0
722,-24.0
723,-3.0
724,-13.0
725,3.0
726,-23.0
727,-31.0
728,-16.0
729,-23.0
730,-15.0
731,-4.0
732,-7.0
733,-13.0
734,86.0
735,156.0
736,-20.0
737,-5.0
738,7.0
739,205.0
740,-19.0
741,32.0
742,74.0
743,47.0
744,0.0
745,-7.0
746,29.0
747,-28.0
748,53.0
749,212.0
750,196.0
751,-6.0
752,-17.0
753,1.0
754,-6.0
755,-26.0
756,-1.0
757,-17.0
758,22.0
759,26.0
760,-12.0
761,-22.0
762,9.0
763,-6.0
764,-6.0
765,-26.0
766,-17.0
767,3.0
768,6.0
769,15.0
770,3.0
771,11.0
772,-6.0
773,29.0
774,-14.0
775,-34.0
776,-19.0
777,25.0
778,-1.0
779,3.0
780,-22.0
781,-17.0
782,-16.0
783,-10.0
784,-26.0
785,-19.0
786,-15.0
787,54.0
788,-15.0
789,2.0
790,1.0
791,14.0
792,-11.0
793,-18.0
794,-17.0
795,-13.0
796,4.0
797,35.0
798,-9.0
799,-16.0
800,-20.0
801,-23.0
802,-22.0
803,-3.0
804,15.0
805,-7.0
806,-10.0
807,-7.0
808,-19.0
809,-14.0
810,-7.0
811,-16.0
812,-12.0
813,-20.0
814,63.0
815,-32.0
816,-5.0
817,-8.0
818,-11.0
819,-20.0
820,-23.0
821,-18.0
822,-25.0
823,-11.0
824,-11.0
825,-15.0
826,-17.0
827,-42.0
828,-13.0
829,-16.0
830,-23.0
831,-25.0
832,-22.0
833,-16.0
834,-24.0
835,-14.0
836,-23.0
837,10.0
838,8.0
839,-21.0
840,-20.0
841,-14.0
842,-14.0
843,4.0
844,45.0
845,5.0
846,20.0
847,-8.0
848,-20.0
849,-42.0
850,-1.0
851,5.0
852,-1.0
853,-16.0
854,-11.0
855,-29.0
856,-3.0
857,4.0
858,-27.0
859,-27.0
860,-27.0
861,-28.0
862,-5.0
863,-4.0
864,-1.0
865,-9.0
866,-22.0
867,-20.0
868,-18.0
869,-16.0
870,-24.0
871,20.0
872,-4.0
873,-8.0
874,-21.0
875,-20.0
876,-34.0
877,-20.0
878,-9.0
879,3.0
880,20.0
881,-16.0
882,-20.0
883,10.0
884,-21.0
885,6.0
886,34.0
887,-6.0
888,-18.0
889,-20.0
890,-22.0
891,-12.0
892,-17.0
893,-19.0
894,-22.0
895,-13.0
896,-16.0
897,-28.0
898,-11.0
899,-28.0
900,79.0
901,-11.0
902,8.0
903,-8.0
904,-9.0
905,-18.0
906,-7.0
907,-9.0
908,-29.0
909,25.0
910,8.0
911,-13.0
912,-2.0
913,-15.0
914,-9.0
915,18.0
916,-18.0
917,-3.0
918,9.0
919,33.0
920,6.0
921,-9.0
922,-21.0
923,-15.0
924,-23.0
925,-28.0
926,-14.0
927,-3.0
928,-12.0
929,-5.0
930,-12.0
931,-14.0
932,-7.0
933,-1.0
934,-2.0
935,-14.0
936,-11.0
937,-20.0
938,-8.0
939,-25.0
940,-28.0
941,-3.0
942,8.0
943,-13.0
944,-9.0
945,-18.0
946,58.0
947,-8.0
948,-20.0
949,-5.0
950,-15.0
951,-21.0
952,-2.0
953,2.0
954,-3.0
955,-3.0
956,26.0
957,-49.0
958,-8.0
959,-24.0
960,22.0
961,3.0
962,-32.0
963,10.0
964,-70.0
965,-15.0
966,9.0
967,-52.0
968,16.0
969,-31.0
970,38.0
971,-26.0
972,9.0
973,-47.0
974,19.0
975,-38.0
976,6.0
977,-50.0
978,72.0
979,-15.0
980,3.0
981,17.0
982,-67.0
983,-5.0
984,-3.0
985,23.0
986,-9.0
987,43.0
988,-57.0
989,-2.0
990,-8.0
991,-4.0
992,10.0
993,-12.0
994,8.0
995,65.0
996,55.0
997,65.0
998,-38.0
999,54.0
1000,5.0
1001,-26.0
1002,-17.0
1003,-4.0
1004,-26.0
1005,-19.0
1006,-31.0
1007,-16.0
1008,-10.0
1009,-10.0
1010,-13.0
1011,-8.0
1012,6.0
1013,4.0
1014,-8.0
1015,25.0
1016,-17.0
1017,-28.0
1018,15.0
1019,-5.0
1020,-23.0
1021,-6.0
1022,-12.0
1023,-18.0
1024,-6.0
1025,8.0
1026,-26.0
1027,-11.0
1028,-19.0
1029,-20.0
1030,-10.0
1031,-22.0
1032,5.0
1033,-32.0
1034,-19.0
1035,11.0
1036,-17.0
1037,30.0
1038,-10.0
1039,-19.0
1040,5.0
1041,20.0
1042,3.0
1043,-21.0
1044,142.0
1045,1.0
1046,-22.0
1047,17.0
1048,1.0
1049,2.0
1050,35.0
1051,-8.0
1052,0.0
1053,23.0
1054,-15.0
1055,-24.0
1056,1.0
1057,55.0
1058,-24.0
1059,-16.0
1060,3.0
1061,-13.0
1062,-13.0
1063,-39.0
1064,-12.0
1065,-21.0
1066,-8.0
1067,-8.0
1068,-18.0
1069,24.0
1070,-23.0
1071,-15.0
1072,18.0
1073,33.0
1074,-14.0
1075,1.0
1076,-12.0
1077,-16.0
1078,-3.0
1079,18.0
1080,55.0
1081,0.0
1082,-24.0
1083,60.0
1084,4.0
1085,-3.0
1086,-37.0
1087,-71.0
1088,-19.0
1089,15.0
1090,-15.0
1091,-7.0
1092,-11.0
1093,-7.0
1094,16.0
1095,10.0
1096,21.0
1097,0.0
1098,-8.0
1099,-35.0
1100,-8.0
1101,14.0
1102,-23.0
1103,-23.0
1104,-12.0
1105,-15.0
1106,5.0
1107,-9.0
1108,-1.0
1109,-5.0
1110,2.0
1111,-5.0
1112,-35.0
1113,-19.0
1114,-30.0
1115,-10.0
1116,-4.0
1117,66.0
1118,-30.0
1119,32.0
1120,-13.0
1121,-31.0
1122,-30.0
1123,111.0
1124,-14.0
1125,-50.0
1126,-23.0
1127,-43.0
1128,-10.0
1129,-7.0
1130,-7.0
1131,-1.0
1132,14.0
1133,-1.0
1134,-34.0
1135,-28.0
1136,-4.0
1137,-12.0
1138,11.0
1139,3.0
1140,-5.0
1141,-20.0
1142,-42.0
1143,-25.0
1144,-14.0
1145,-8.0
1146,-16.0
1147,-45.0
1148,-9.0
1149,-29.0
1150,-8.0
1151,10.0
1152,-5.0
1153,13.0
1154,-4.0
1155,-36.0
1156,-37.0
1157,-2.0
1158,-59.0
1159,37.0
1160,6.0
1161,-16.0
1162,-16.0
1163,-8.0
1164,-1.0
1165,-6.0
1166,51.0
1167,-38.0
1168,15.0
1169,-16.0
1170,-20.0
1171,-10.0
1172,1.0
1173,-63.0
1174,-17.0
1175,-17.0
1176,-17.0
1177,-18.0
1178,5.0
1179,-6.0
1180,-30.0
1181,3.0
1182,-10.0
1183,-8.0
1184,-41.0
1185,14.0
1186,-8.0
1187,-40.0
1188,-4.0
1189,-5.0
1190,-40.0
1191,-21.0
1192,-6.0
1193,8.0
1194,-8.0
1195,-5.0
1196,-32.0
1197,-29.0
1198,-6.0
1199,-1.0
1200,-13.0
1201,-3.0
1202,4.0
1203,-13.0
1204,-15.0
1205,-17.0
1206,1.0
1207,-7.0
1208,-17.0
1209,7.0
1210,-18.0
1211,33.0
1212,32.0
1213,-5.0
1214,0.0
1215,-29.0
1216,-20.0
1217,-18.0
1218,-10.0
1219,-8.0
1220,-2.0
1221,0.0
1222,98.0
1223,-20.0
1224,-36.0
1225,17.0
1226,-7.0
1227,-5.0
1228,-7.0
1229,23.0
1230,-13.0
1231,-23.0
1232,-7.0
1233,-31.0
1234,-17.0
1235,-15.0
1236,-42.0
1237,-5.0
1238,-5.0
1239,-19.0
1240,-22.0
1241,-31.0
1242,-1.0
1243,47.0
1244,14.0
1245,-12.0
1246,1.0
1247,-11.0
1248,4.0
1249,12.0
1250,-51.0
1251,-37.0
1252,-2.0
1253,61.0
1254,-26.0
1255,13.0
1256,-11.0
1257,-20.0
1258,-4.0
1259,-20.0
1260,-9.0
1261,-10.0
1262,-24.0
1263,-11.0
1264,-26.0
1265,17.0
1266,27.0
1267,-48.0
1268,5.0
1269,-30.0
1270,-7.0
1271,14.0
1272,57.0
1273,19.0
1274,18.0
1275,-6.0
1276,-21.0
1277,30.0
1278,-40.0
1279,-11.0
1280,-29.0
1281,-7.0
1282,25.0
1283,-27.0
1284,14.0
1285,-8.0
1286,20.0
1287,-10.0
1288,-8.0
1289,3.0
1290,12.0
1291,52.0
1292,-18.0
1293,-51.0
1294,14.0
1295,-44.0
1296,39.0
1297,-25.0
1298,-7.0
1299,-17.0
1300,19.0
1301,-45.0
1302,-17.0
1303,-23.0
1304,-36.0
1305,44.0
1306,-23.0
1307,-40.0
1308,-26.0
1309,-3.0
1310,-21.0
1311,-28.0
1312,3.0
1313,-10.0
1314,-16.0
1315,-2.0
1316,1.0
1317,1.0
1318,-20.0
1319,5.0
1320,19.0
1321,163.0
1322,25.0
1323,-42.0
1324,11.0
1325,19.0
1326,18.0
1327,-3.0
1328,-13.0
1329,-29.0
1330,-5.0
1331,11.0
1332,-13.0
1333,4.0
1334,4.0
1335,-2.0
1336,-11.0
1337,0.0
1338,20.0
1339,2.0
1340,20.0
1341,-26.0
1342,-14.0
1343,5.0
1344,153.0
1345,-18.0
1346,13.0
1347,-24.0
1348,-37.0
1349,-4.0
1350,27.0
1351,-6.0
1352,59.0
1353,-2.0
1354,19.0
1355,-29.0
1356,-4.0
1357,14.0
1358,-3.0
1359,-3.0
1360,6.0
1361,9.0
1362,-8.0
1363,-17.0
1364,-12.0
1365,-10.0
1366,-50.0
1367,-35.0
1368,9.0
1369,-54.0
1370,-10.0
1371,-14.0
1372,-8.0
1373,39.0
1374,-29.0
1375,-24.0
1376,86.0
1377,-1.0
1378,-37.0
1379,50.0
1380,69.0
1381,42.0
1382,-15.0
1383,-30.0
1384,17.0
1385,-9.0
1386,-33.0
1387,-19.0
1388,4.0
1389,-31.0
1390,8.0
1391,-16.0
1392,-39.0
1393,-21.0
1394,2.0
1395,-18.0
1396,-46.0
1397,-46.0
1398,-36.0
1399,-27.0
1400,-8.0
1401,-21.0
1402,-35.0
1403,-16.0
1404,-18.0
1405,4.0
1406,0.0
1407,-21.0
1408,-3.0
1409,-31.0
1410,-51.0
1411,-24.0
1412,-17.0
1413,-25.0
1414,-10.0
1415,5.0
1416,30.0
1417,-24.0
1418,1.0
1419,-24.0
1420,-11.0
1421,56.0
1422,-6.0
1423,-21.0
1424,25.0
1425,8.0
1426,32.0
1427,39.0
1428,-1.0
1429,-16.0
1430,-27.0
1431,18.0
1432,-41.0
1433,-25.0
1434,-7.0
1435,-32.0
1436,-2.0
1437,-11.0
1438,2.0
1439,-34.0
1440,-9.0
1441,-6.0
1442,-19.0
1443,-11.0
1444,-34.0
1445,8.0
1446,-32.0
1447,1.0
1448,-11.0
1449,-10.0
1450,49.0
1451,-9.0
1452,-28.0
1453,10.0
1454,-17.0
1455,-5.0
1456,1.0
1457,61.0
1458,35.0
1459,4.0
1460,-5.0
1461,12.0
1462,-31.0
1463,34.0
1464,3.0
1465,-22.0
1466,7.0
1467,-20.0
1468,6.0
1469,-17.0
1470,-2.0
1471,-3.0
1472,-14.0
1473,-27.0
1474,-28.0
1475,-22.0
1476,13.0
1477,12.0
1478,11.0
1479,-38.0
1480,5.0
1481,-17.0
1482,-14.0
1483,-11.0
1484,20.0
1485,-18.0
1486,20.0
1487,-13.0
1488,-25.0
1489,-29.0
1490,41.0
1491,19.0
1492,46.0
1493,-6.0
1494,-27.0
1495,-31.0
1496,10.0
1497,-5.0
1498,-4.0
1499,-23.0
1500,-32.0
1501,-16.0
1502,-40.0
1503,6.0
1504,-4.0
1505,-1.0
1506,8.0
1507,-24.0
1508,-11.0
1509,13.0
1510,48.0
1511,17.0
1512,-29.0
1513,-18.0
1514,-5.0
1515,5.0
1516,-3.0
1517,32.0
1518,32.0
1519,-20.0
1520,32.0
1521,13.0
1522,2.0
1523,-16.0
1524,1.0
1525,8.0
1526,-13.0
1527,14.0
1528,170.0
1529,-8.0
1530,79.0
1531,4.0
1532,-24.0
1533,-5.0
1534,3.0
1535,-29.0
1536,-11.0
1537,-15.0
1538,-9.0
1539,-11.0
1540,-19.0
1541,-21.0
1542,-15.0
1543,-28.0
1544,23.0
1545,-1.0
1546,-17.0
1547,4.0
1548,-2.0
1549,81.0
1550,-41.0
1551,3.0
1552,15.0
1553,-9.0
1554,-2.0
1555,0.0
1556,7.0
1557,-14.0
1558,4.0
1559,-4.0
1560,-16.0
1561,-2.0
1562,-2.0
1563,41.0
1564,101.0
1565,-25.0
1566,-10.0
1567,20.0
1568,15.0
1569,-23.0
1570,-18.0
1571,-19.0
1572,-20.0
1573,-15.0
1574,-1.0
1575,-8.0
1576,-14.0
1577,38.0
1578,24.0
1579,-3.0
1580,41.0
1581,-12.0
1582,6.0
1583,-15.0
1584,-13.0
1585,-4.0
1586,-7.0
1587,52.0
1588,-5.0
1589,-7.0
1590,3.0
1591,87.0
1592,-5.0
1593,65.0
1594,-17.0
1595,-9.0
1596,80.0
1597,-18.0
1598,-4.0
1599,22.0
1600,82.0
1601,71.0
1602,-3.0
1603,221.0
1604,3.0
1605,-11.0
1606,-8.0
1607,-9.0
1608,-3.0
1609,94.0
1610,7.0
1611,81.0
1612,-12.0
1613,-4.0
1614,3.0
1615,-13.0
1616,-8.0
1617,5.0
1618,-3.0
1619,110.0
1620,134.0
1621,-11.0
1622,52.0
1623,83.0
1624,-11.0
1625,4.0
1626,5.0
1627,23.0
1628,-8.0
1629,70.0
1630,55.0
1631,8.0
1632,-20.0
1633,183.0
1634,357.0
1635,114.0
1636,34.0
1637,63.0
1638,85.0
1639,9.0
1640,25.0
1641,4.0
1642,-4.0
1643,14.0
1644,-15.0
1645,-7.0
1646,-2.0
1647,-8.0
1648,10.0
1649,180.0
1650,151.0
1651,4.0
1652,-7.0
1653,0.0
1654,-10.0
1655,37.0
1656,-9.0
1657,4.0
1658,-27.0
1659,78.0
1660,80.0
1661,-2.0
1662,114.0
1663,54.0
1664,22.0
1665,-5.0
1666,19.0
1667,42.0
1668,-11.0
1669,1.0
1670,23.0
1671,32.0
1672,22.0
1673,6.0
1674,-35.0
1675,-16.0
1676,1.0
1677,-16.0
1678,2.0
1679,3.0
1680,-10.0
1681,22.0
1682,-18.0
1683,-17.0
1684,15.0
1685,-6.0
1686,-14.0
1687,36.0
1688,37.0
1689,-35.0
1690,7.0
1691,-31.0
1692,-10.0
1693,34.0
1694,5.0
1695,-11.0
1696,-2.0
1697,16.0
1698,9.0
1699,54.0
1700,-13.0
1701,-24.0
1702,7.0
1703,11.0
1704,-1.0
1705,-4.0
1706,3.0
1707,-10.0
1708,-14.0
1709,4.0
1710,77.0
1711,-17.0
1712,-14.0
1713,-4.0
1714,-33.0
1715,21.0
1716,1.0
1717,38.0
1718,-2.0
1719,94.0
1720,12.0
1721,-1.0
1722,-8.0
1723,-8.0
1724,-10.0
1725,5.0
1726,-28.0
1727,-19.0
1728,-14.0
1729,72.0
1730,-16.0
1731,-22.0
1732,-22.0
1733,-3.0
1734,-11.0
1735,-27.0
1736,-19.0
1737,-11.0
1738,-11.0
1739,-6.0
1740,-3.0
1741,-13.0
1742,11.0
1743,8.0
1744,19.0
1745,0.0
1746,-2.0
1747,-8.0
1748,-13.0
1749,-10.0
1750,7.0
1751,-9.0
1752,-33.0
1753,-7.0
1754,-7.0
1755,123.0
1756,-25.0
1757,-6.0
1758,-9.0
1759,-9.0
1760,-8.0
1761,4.0
1762,-8.0
1763,19.0
1764,-13.0
1765,-17.0
1766,-5.0
1767,2.0
1768,5.0
1769,-8.0
1770,-5.0
1771,16.0
1772,-26.0
1773,3.0
1774,-27.0
1775,-3.0
1776,22.0
1777,-16.0
1778,0.0
1779,77.0
1780,1.0
1781,-12.0
1782,-9.0
1783,-10.0
1784,-5.0
1785,22.0
1786,-10.0
1787,-13.0
1788,-26.0
1789,10.0
1790,-17.0
1791,0.0
1792,-26.0
1793,19.0
1794,36.0
1795,-11.0
1796,69.0
1797,108.0
1798,-11.0
1799,-11.0
1800,2.0
1801,-7.0
1802,1.0
1803,-7.0
1804,15.0
1805,2.0
1806,51.0
1807,-49.0
1808,-17.0
1809,144.0
1810,17.0
1811,50.0
1812,25.0
1813,-17.0
1814,2.0
1815,-14.0
1816,-12.0
1817,15.0
1818,449.0
1819,3.0
1820,14.0
1821,-11.0
1822,45.0
1823,-51.0
1824,14.0
1825,8.0
1826,-2.0
1827,-19.0
1828,-15.0
1829,-10.0
1830,0.0
1831,1.0
1832,9.0
1833,0.0
1834,-15.0
1835,-32.0
1836,-17.0
1837,3.0
1838,-2.0
1839,16.0
1840,-3.0
1841,10.0
1842,-29.0
1843,6.0
1844,120.0
1845,19.0
1846,24.0
1847,1.0
1848,-29.0
1849,3.0
1850,6.0
1851,-19.0
1852,-25.0
1853,12.0
1854,32.0
1855,69.0
1856,21.0
1857,4.0
1858,-3.0
1859,-7.0
1860,-6.0
1861,-8.0
1862,-14.0
1863,-11.0
1864,8.0
1865,-10.0
1866,-38.0
1867,-5.0
1868,-13.0
1869,-28.0
1870,-14.0
1871,17.0
1872,-12.0
1873,0.0
1874,-9.0
1875,-12.0
1876,3.0
1877,-26.0
1878,-16.0
1879,-3.0
1880,9.0
1881,-23.0
1882,-6.0
1883,-17.0
1884,-15.0
1885,-4.0
1886,-5.0
1887,-9.0
1888,39.0
1889,4.0
1890,-12.0
1891,54.0
1892,20.0
1893,-18.0
1894,-18.0
1895,-12.0
1896,-7.0
1897,-32.0
1898,39.0
1899,3.0
1900,-21.0
1901,13.0
1902,1.0
1903,-4.0
1904,12.0
1905,-7.0
1906,-14.0
1907,-19.0
1908,-14.0
1909,-31.0
1910,0.0
1911,-21.0
1912,39.0
1913,-2.0
1914,10.0
1915,-25.0
1916,-13.0
1917,-5.0
1918,-6.0
1919,81.0
1920,-19.0
1921,-16.0
1922,4.0
1923,-3.0
1924,-16.0
1925,1.0
1926,-22.0
1927,-7.0
1928,-23.0
1929,-1.0
1930,-15.0
1931,-10.0
1932,0.0
1933,83.0
1934,0.0
1935,-16.0
1936,-9.0
1937,33.0
1938,59.0
1939,11.0
1940,-5.0
1941,20.0
1942,-32.0
1943,-9.0
1944,-6.0
1945,9.0
1946,-27.0
1947,-11.0
1948,-5.0
1949,-10.0
1950,17.0
1951,-2.0
1952,-11.0
1953,-28.0
1954,3.0
